lat,long,density
40.7189379873,-73.9989236627,1103
40.7713131579,-73.9155074561,228
40.6844976821,-73.9595771523,302
40.7786311909,-73.9515039698,529
40.7414257946,-73.9837352078,818
40.6474774011,-73.7842723164,177
40.7162558685,-73.9594260563,852
40.7395373074,-74.0069360683,2986
40.8610445652,-73.925498913,92
40.6644403571,-73.9871507143,280
40.6864292308,-73.9214205128,195
40.7218954545,-73.8078090909,22
40.7419201613,-74.0391725806,124
40.7618099857,-73.979242796,701
40.8055255061,-73.9588052632,247
40.72535163,-73.982561865,1319
40.6878261649,-73.9949193548,279
40.8359090909,-73.8421363636,33
40.623872619,-74.0284380952,84
40.6432441176,-73.8966205882,34
40.7086855042,-73.937694958,476
40.7265854167,-73.8730041667,48
40.7070839635,-74.0092899609,767
40.7690192661,-73.9590502294,436
40.7284382246,-74.000129529,1104
40.6391880435,-73.9693,92
40.7500851682,-74.0030379205,654
40.7207871462,-73.9878396936,3003
40.7310416873,-74.0073980149,806
40.8206102679,-73.9470223214,224
40.794597561,-73.9695141463,205
40.7530121212,-74.0289943723,231
40.7123262032,-73.9499870321,748
40.7626381748,-73.9964236504,778
40.6818595238,-73.8567333333,42
40.7053490022,-73.9229713969,451
40.6546739437,-73.9537197183,142
40.6770588235,-74.0132352941,102
40.7428573267,-73.9915113861,1010
40.7478858748,-73.9763049759,623
40.8752533333,-73.8222933333,15
40.7599775701,-73.9093364486,107
40.6783763636,-73.9743516364,275
40.8877125,-74.0312375,8
40.7590122402,-73.9689366051,866
40.7485137037,-73.9486451852,270
40.8604945455,-73.8851690909,55
40.7378705584,-74.030384264,591
40.663714,-73.930229,100
40.76624375,-73.878228125,64
40.66571875,-73.82895625,32
40.7637816327,-73.78,49
40.7148743494,-74.0102749071,538
40.7586272452,-73.9887862765,991
40.82482,-73.8922533333,30
40.7634136364,-73.8316121212,66
40.7204047619,-73.9425330159,315
40.7816937824,-73.9781297927,386
40.7263747592,-73.9922130379,1557
40.73196593,-73.9800441989,543
40.6493568421,-74.00778,95
40.6706510204,-73.8985836735,49
40.7321792414,-73.9887313793,1450
40.7237081967,-73.8494540984,61
40.6791830579,-73.9452619835,242
40.7400603321,-74.0005769373,1084
40.7218090058,-73.9559253801,855
40.8447725926,-73.9380037037,135
40.7120093645,-73.9647722408,598
40.6753985163,-73.9884908012,337
40.6985291139,-73.9058221519,158
40.7502822099,-73.985401547,905
40.8857382353,-73.9024705882,34
40.7199803738,-74.043085514,214
40.7595060606,-73.9256354978,231
40.7416519608,-73.89275,102
40.6983239691,-73.9327201031,388
40.709565625,-73.78674375,32
40.8891918919,-73.8601486486,37
40.6736051136,-73.9577420455,352
40.733574221,-74.0011634561,1059
40.6204352941,-73.9977911765,34
40.6929171674,-73.9496733906,233
40.6920843882,-73.9681489451,237
40.7218584536,-74.0056752577,970
40.7418506329,-73.9226037975,79
40.6297388889,-73.93377,90
40.7018970588,-73.82025,68
40.8038371287,-73.9435559406,202
40.8155869565,-73.9883565217,23
40.7000480519,-73.9888588745,231
40.7315746544,-73.9564493088,217
40.88775,-73.9652625,8
40.7192648872,-73.9925907519,1330
40.7672551683,-73.9857840144,832
40.688173913,-73.9817682609,230
40.81698,-73.92706,70
40.7782944444,-74.0285944444,36
40.7506801587,-73.9936274603,630
40.7427209936,-74.0053928419,1872
