lat,long,density
40.7154790368,-73.9974552408,706
40.773882572,-73.8723167955,1423
40.7599222393,-73.9925761503,1304
40.6465840708,-73.7898011799,339
40.6789629032,-73.9455270161,248
40.7846274336,-73.9479536873,339
40.8513911765,-73.9068235294,34
40.7282495122,-73.9573897561,410
40.6629046025,-73.9911916318,239
40.7435084606,-73.9844584019,851
40.7312563202,-74.0084396067,712
40.7673617496,-73.9672138937,583
40.6841232558,-73.8234093023,43
40.8339545455,-73.9424057851,121
40.6320588235,-74.0267088235,136
40.696369338,-73.9315965157,287
40.7226216473,-73.9827204857,947
40.7859493464,-73.9783616013,612
40.7624030769,-73.9137196154,260
40.7200157895,-73.9566172452,893
40.6826139384,-73.9766230146,617
40.7445141176,-73.8436564706,85
40.7467698413,-74.0065298186,882
40.7158454707,-74.014789698,563
40.6355043956,-73.9514340659,91
40.6885383693,-74.0003170264,417
40.7285990264,-74.0001748261,1438
40.7388957547,-74.0306386792,212
40.8936222222,-73.7874055556,18
40.8094988679,-73.947649434,265
40.6185522727,-73.9232159091,44
40.7596998108,-73.9802905393,1057
40.7383426573,-74.0018809191,1001
40.8402888889,-73.8294138889,36
40.7477781132,-73.9425267925,265
40.7180677778,-73.8740155556,90
40.7323026022,-73.9875755576,1076
40.767933964,-73.983115894,1057
40.7717864865,-73.9513184275,407
40.6833709091,-73.9654301299,385
40.8079389381,-73.9626137168,226
40.708980632,-74.0050434251,981
40.7137489362,-73.7837510638,47
40.7574057143,-73.829172381,105
40.8924459459,-73.9019108108,74
40.6754669468,-74.0156406162,357
40.6457419562,-73.7823445216,1871
40.7027296214,-73.9872162584,449
40.7151075117,-74.0416342723,213
40.7444022727,-73.9017795455,88
40.7492109564,-73.9911798514,1077
40.6972341615,-73.9100043478,161
40.7162346939,-73.9501622449,392
40.8553596154,-73.932774359,156
40.8150913043,-73.9148782609,46
40.6701646018,-73.9319823009,113
40.7379089918,-73.9744291553,367
40.85526,-74.02272,5
40.6640770701,-73.9599191083,157
40.772671115,-73.9819542581,1139
40.7557320626,-73.9891224829,1023
40.7609129323,-73.9668705263,665
40.6892023256,-73.8530534884,43
40.6869272727,-73.984787987,308
40.7256855832,-73.9933355832,1852
40.7195596694,-74.0093840496,1210
40.7067752753,-74.0089892893,999
40.7195126087,-73.8442869565,230
40.7337802553,-74.0017287538,1332
40.7637439024,-73.7782487805,41
40.7682058304,-73.8624181979,566
40.7685948276,-73.9273511494,174
40.7576410931,-73.9631927126,494
40.7097009009,-73.9527654655,333
40.6469555556,-73.8874740741,27
40.8517948276,-73.8571465517,58
40.7775810585,-73.953714624,718
40.8369419355,-73.9181516129,31
40.6715152542,-73.8796508475,59
40.6876463736,-73.9754916484,455
40.7537578652,-74.0255101124,178
40.6501880503,-73.9763169811,159
40.7476819149,-73.9787317967,846
40.7942553299,-73.9218076142,197
40.7840431655,-73.9724942446,417
40.7927619792,-73.9736984375,384
40.6984566667,-73.8061833333,60
40.7735850158,-73.963661041,634
40.7371376623,-73.8779285714,77
40.688,-73.9195854167,192
40.6543530973,-74.0062132743,113
40.7401932584,-73.9301730337,89
40.8561197802,-73.8874703297,91
40.7413362801,-74.0060227571,2285
40.8734178571,-73.8564821429,28
40.7398880725,-73.9952599237,1048
40.7626370044,-73.9853496329,2043
40.6629844444,-73.8379022222,45
40.7118139241,-73.9662972574,474
40.7064651811,-73.9403183844,359
40.7256028986,-74.0472282609,138
40.784537931,-73.8011827586,29
40.7263851969,-73.9784388976,635
40.7381777626,-73.983078854,733
40.7352527372,-73.9922754562,1096
40.7454285714,-73.9554261224,490
40.7633660646,-73.9762224335,1052
40.720922567,-73.9878696051,1418
40.7240691475,-74.0092020298,739
40.7732375,-74.0240520833,48
40.7114014,-73.9621974,500
40.6538442529,-73.9582316092,174
40.7695960699,-73.8858917031,229
40.755454065,-73.9995902439,492
40.7383885991,-73.9885315946,1342
40.6932516529,-73.9563016529,242
40.6173083333,-73.9885222222,36
40.7562674208,-73.8459004525,221
40.6653134615,-73.8030961538,52
40.7083714715,-74.0155744745,666
40.6673133779,-73.9773772575,299
40.6775693333,-73.90888,75
40.6789864407,-73.9985327684,354
40.8284535211,-73.9262030986,355
40.823721875,-73.892684375,32
40.8877176471,-73.9689235294,17
40.6459277056,-73.7768386724,693
40.753589158,-73.9788730104,867
40.674174878,-73.9551487805,410
40.7244576119,-73.9499823881,335
40.6919050228,-73.9446191781,219
40.7764695205,-73.9883434932,292
40.6928693182,-73.9687215909,440
40.8756794118,-73.8257882353,34
40.795105036,-73.9359920863,139
40.7642080315,-73.9609343307,635
40.7036658824,-73.8970611765,85
40.7183035629,-74.0037274347,842
40.6990791866,-73.9940547847,418
40.7554319753,-73.9686583951,810
40.8173674699,-73.9579915663,166
40.7199098039,-73.8144254902,51
40.7401132911,-74.0402746835,158
40.6360533333,-73.9060911111,45
40.8469208955,-73.9391223881,134
40.6891290741,-73.9928996296,540
40.8157683544,-73.9405822785,158
40.7210411607,-73.9941128571,1120
40.7790035211,-73.9793652582,852
40.6273234043,-73.9706702128,47
40.6803991329,-73.9902106936,346
40.7644853211,-73.9801577982,872
40.7276428697,-73.9887768486,1136
40.8665296703,-73.9260637363,91
40.7858322086,-73.9542779141,326
40.7334924429,-73.9779994728,569
40.8042427632,-73.9541717105,304
40.6855630728,-73.9572283019,371
40.7620472513,-73.9985282723,764
40.616526087,-73.9499130435,46
40.7236971698,-74.0343339623,106
40.6521258621,-73.9371155172,58
40.779257243,-73.9597485981,428
40.7851970588,-73.8405,34
40.7596246575,-73.9878356164,1898
40.6758742664,-73.9825340858,443
40.7511697479,-73.8867630252,119
40.7152824818,-73.9415958637,411
40.90272,-73.85868,25
40.7319118887,-74.0042494098,1186
40.8100411765,-73.9937058824,17
40.8009159091,-73.9659303977,352
40.7442258643,-74.0004143406,781
40.7583448413,-73.9236964286,252
40.6762383812,-73.9721655352,383
40.7362701342,-74.0072875839,1192
40.7494784468,-73.9854041012,1146
40.7427797395,-73.9796913169,691
40.6841203463,-73.9338757576,231
40.6777384615,-73.7813871795,39
40.7242383886,-73.9423260664,211
40.8465482759,-73.9763,29
40.6431046512,-73.9962813953,43
40.7634299458,-73.9714941734,738
40.7095588235,-73.9474804954,323
40.6709417266,-73.9887388489,278
40.7208457447,-73.9042180851,94
40.7461790698,-73.8602953488,43
40.66609,-73.9463442857,140
40.745315822,-73.9947420272,809
40.7741650246,-73.916517734,203
