lat,long,density
40.7159163675,-74.0088468849,947
40.7757194779,-73.9541058233,498
40.6821,-73.8602833333,36
40.7381225092,-73.9813057811,813
40.6493428571,-73.9764040816,98
40.7692291667,-73.8642324405,336
40.6452310905,-73.7896693735,431
40.7161359375,-73.9109296875,64
40.7408297725,-74.0059228981,2022
40.7096689655,-73.9503682759,435
40.7635159889,-73.9837995379,1082
40.8729346939,-73.8825102041,49
40.6832930864,-73.9770281481,810
40.8148522936,-73.9527825688,109
40.7352705929,-73.9917326482,1265
40.6539287356,-74.0063356322,87
40.72104784,-73.99393456,1250
40.7504851969,-73.9725716535,635
40.7466012821,-73.9418205128,156
40.7381966507,-74.0304325359,209
40.7635448276,-73.8101344828,29
40.7577551378,-73.9914724311,1197
40.6771081871,-73.9452795322,171
40.7336271962,-74.002986849,1901
40.77352,-73.9174892308,195
40.7762829787,-73.9796631206,564
40.863607,-73.928842,100
40.7354183099,-73.8767943662,71
40.6764794621,-74.0147491443,409
40.7321974855,-73.9565889749,517
40.6868090164,-73.992192623,366
40.7283078431,-73.8158058824,51
40.62107125,-74.03188375,80
40.7237884298,-74.042618595,242
40.7891201087,-73.9764521739,368
40.7255793313,-73.9789211246,658
40.7455634375,-73.9952314062,640
40.84204,-73.82735,20
40.6854019157,-73.9551214559,261
40.6342,-73.9023565217,46
40.7900777174,-73.9428777174,184
40.7225050781,-73.9423011719,256
40.7675321016,-73.966734873,433
40.85554,-74.02923,10
40.7574314159,-73.9246274336,226
40.6701777344,-73.9883429688,256
40.6382193548,-73.9504032258,62
40.8014135693,-73.9647253687,339
40.8284426829,-73.9257585366,164
40.7058421642,-73.9426235075,268
40.7209160209,-73.9566967539,955
40.7431840964,-73.9846224096,830
40.8145708333,-73.9141791667,24
40.7013742308,-73.9847469231,260
40.7082955882,-74.0154613445,476
40.7199181818,-73.8446666667,132
40.7319531941,-73.9952017199,814
40.73213669,-73.9870471103,1142
40.6696336634,-73.9317049505,101
40.7544202128,-74.0271336879,282
40.7689755594,-73.9909740103,581
40.7077068182,-74.0046237879,660
40.8970478261,-73.7846391304,23
40.6802464286,-73.8352357143,28
40.832712,-73.857584,25
40.7563672414,-73.8459560345,116
40.7430709459,-73.9213662162,148
40.7508698246,-74.0046538596,570
40.8914,-73.9026722222,54
40.7580575201,-73.9807543054,871
40.6727438406,-73.9627666667,276
40.7505183908,-73.8865252874,87
40.7247117647,-74.0037779619,1207
40.7444978452,-73.979450049,1021
40.7245375,-73.7944675,40
40.7737848485,-73.8723768271,561
40.755356157,-73.9685932341,739
40.7641856808,-73.9601352113,426
40.7116936552,-73.9647335172,725
40.8874518519,-73.8506592593,27
40.7214522353,-73.9982591373,1275
40.6878404372,-73.9723415301,366
40.6459341935,-73.7768883871,155
40.7615936813,-73.9995590659,364
40.7209143284,-73.9881302239,1340
40.6177225,-74.014335,40
40.7456337662,-73.9553244156,385
40.6888080745,-73.9200720497,161
40.8500248175,-73.9366233577,137
40.6567852349,-73.9602201342,149
40.7341007792,-73.9991685714,1540
40.7696913896,-73.9826404945,1173
40.6934670157,-73.9565403141,191
40.8007834559,-73.9342025735,272
40.79154,-74.05258,10
40.8509628571,-73.9092,35
40.7637147924,-73.9775609862,1156
40.7160521472,-74.0146744376,489
40.7461802162,-73.9883864865,925
40.6584242424,-73.8978484848,33
40.6787265455,-73.9982738182,275
40.8033148026,-73.9529486842,304
40.616655,-73.9567925,40
40.6932097403,-73.9957915584,308
40.7671257143,-73.7783342857,35
40.7162929078,-73.9509794326,423
40.7243719941,-74.0090753666,682
40.6897183333,-73.9842922222,360
40.6622340541,-73.9907124324,185
40.6758597484,-73.9817603774,318
40.7739980519,-73.9481376623,308
40.730859893,-74.0063417112,1122
40.7269455535,-73.9996254083,1102
40.7078148148,-73.8907722222,54
40.838818018,-73.9417126126,111
40.7152140244,-73.9899073171,656
40.6981195122,-73.9095577236,123
40.6743,-73.7789,18
40.6522442308,-73.9255923077,52
40.7508509138,-73.9780932115,766
40.7382223824,-73.9880458307,1595
40.7808155844,-73.9575912338,308
40.748540724,-74.0329131222,221
40.69664,-73.9323277273,220
40.7802236842,-74.0118921053,38
40.7945566474,-73.9700713873,346
40.7634105335,-73.9721325581,731
40.811162987,-73.9615467532,154
40.6484575221,-73.7831269912,226
40.6736928793,-73.9552662539,323
40.7307393617,-73.9816892287,752
40.7423866878,-73.9993335975,631
40.7506323735,-73.9927450584,1285
40.6710010638,-73.9752404255,188
40.7742044248,-73.906219469,113
40.8952,-73.9571,4
40.7443372549,-73.8469127451,102
40.7257557504,-73.9912826087,1426
40.7407721088,-74.0387421769,147
40.6216448276,-73.992737931,29
40.7575328283,-73.9739215909,792
40.6381846154,-74.0011589744,39
40.786305,-73.80577,20
40.8254828571,-73.8887114286,35
40.7018903226,-73.8104096774,31
40.7050461059,-73.9324959502,321
40.7552713043,-73.9851009662,1035
40.7811458791,-73.9490252747,364
40.738059739,-74.0021031687,1073
40.8067483333,-73.9451422222,180
40.7674886364,-73.9273829545,176
40.6792646575,-73.988259726,365
40.7197619092,-74.0090992586,1079
40.6379718447,-73.967161165,103
40.7245974545,-73.9504745455,275
40.7498643006,-73.9849754697,958
40.7827367232,-73.9793576271,531
40.6836942675,-73.9326356688,157
40.7124460854,-73.9577816726,562
40.7203867153,-73.9831418978,685
40.7630720999,-73.9892951542,681
40.7845447059,-73.9720082353,340
40.8555357143,-73.97295,14
40.7766850694,-73.9877486111,288
40.6582964286,-73.8384571429,28
40.7388666667,-73.9951740351,855
40.729934075,-74.0017894469,1573
40.7138089172,-73.9410375796,314
40.7611566794,-73.9672343511,524
40.668564,-73.80244,25
40.715384186,-73.9977586047,430
40.8150666667,-73.9406686275,153
40.7543843525,-73.9981,556
40.8175130435,-73.816873913,23
40.7187670264,-74.0040646283,834
40.7450532798,-74.0074376171,747
40.7623123656,-73.9142327957,186
40.6354894737,-74.0239092105,76
40.88785,-73.9962333333,6
40.7509212121,-73.9489072727,165
40.6636030172,-73.9807456897,232
40.6244860465,-73.9248883721,43
40.7178932353,-73.9620997059,680
40.6913597765,-73.9438877095,179
40.7262718168,-73.9947476708,1288
40.7582792941,-73.9632162353,425
40.7015227621,-73.9924662404,391
40.6840501538,-73.9640341538,325
40.86375,-73.799775,4
40.786725,-73.83985625,16
40.7430851724,-73.9914070115,870
40.8255673469,-73.9464260204,196
40.7294302679,-73.9902741492,1381
40.7735230769,-73.9616005367,559
40.7291944444,-73.8596755556,90
40.7598486111,-73.8298944444,72
40.7688009208,-73.9549836096,543
40.7142729064,-74.0410596059,203
40.6860142857,-74.0012294372,231
40.806875,-73.9947857143,28
40.7337256267,-73.9755192201,359
40.7947966216,-73.9217945946,148
40.7048204134,-73.922924031,387
40.7438094966,-73.9737566362,874
40.71027031,-74.0078497553,613
40.7872553097,-73.9527920354,226
40.6811480519,-73.9093077922,77
40.7466041916,-74.0028137725,501
40.740635443,-73.9017481013,79
40.7359025,-74.007515,1200
40.702953125,-73.8574875,32
40.8976571429,-74.0436,7
40.8575380952,-73.8561261905,42
40.7080409091,-73.8300181818,44
40.644767951,-73.7821334501,571
40.6721823529,-73.8798823529,34
40.694416055,-73.9692201835,218
40.7093304348,-73.7856478261,23
40.6599854167,-73.948578125,96
40.73965,-74.0492517241,58
40.8035229665,-73.9379406699,209
40.726546334,-73.984592057,982
40.8561432099,-73.8862530864,81
40.7620566957,-73.9951024348,575
