lat,long,density
40.7203721225,-73.9990842661,947
40.7299013514,-73.8637162162,74
40.7845110092,-73.9546752294,218
40.6842712522,-73.977135097,567
40.7383901257,-73.9876571813,1114
40.6484876623,-73.7828681818,154
40.7048141869,-73.9319532872,289
40.8327393617,-73.9423755319,94
40.7627407913,-73.9807974079,733
40.7397630495,-74.0075266484,1456
40.7124774257,-73.9575437624,505
40.8438904762,-73.8346190476,21
40.7625237864,-73.9182820388,206
40.7073170854,-74.0046005025,597
40.6709008403,-73.9891394958,238
40.6841150376,-73.9354887218,133
40.6670236842,-73.9503280702,114
40.7252473684,-73.8001447368,38
40.7456328467,-74.0355474453,137
40.7279575635,-73.9871937056,985
40.7679874598,-73.991492926,311
40.6185560976,-74.0152292683,41
40.8813939394,-73.9100666667,33
40.7735442688,-73.8727102767,253
40.8025403846,-73.9585115385,156
40.7574226168,-73.973555514,535
40.7306704259,-74.0007781546,1268
40.7873677419,-73.9749119107,403
40.7234101266,-74.034535443,79
40.8176728261,-73.9371369565,92
40.683115625,-73.832075,32
40.7516813084,-73.9857665421,535
40.6775321429,-73.9981690476,168
40.7244152381,-74.0089902857,525
40.8926458333,-73.7781791667,24
40.6320795455,-73.9435181818,44
40.6812591837,-73.9208540816,98
40.7242347368,-73.9503705263,285
40.75068375,-73.9481,160
40.742369375,-73.9798223438,640
40.8563342105,-73.8879078947,38
40.6858525952,-73.955184083,289
40.7030642857,-73.8976571429,56
40.7557931034,-73.84645,58
40.7191219873,-73.9891463002,946
40.7625528302,-73.9600748428,318
40.8824142857,-74.0127285714,7
40.7157647687,-74.0146316726,281
40.7679509615,-73.9291163462,104
40.6928914676,-73.9958989761,293
40.7507251724,-74.0037641379,580
40.7417886447,-73.9936163004,546
40.725805824,-73.9916374586,1511
40.7062034335,-73.9417759657,233
40.7759504,-73.9802525333,375
40.6767454006,-74.0151243323,337
40.78251,-73.78538,10
40.7281581047,-73.9785269327,401
40.75442723,-73.9975626761,426
40.7194519608,-73.8450568627,102
40.7607499398,-73.9870466907,831
40.6380119048,-74.00065,42
40.6377083333,-73.8961388889,36
40.7384375427,-74.0302955631,293
40.701578125,-73.9921809028,288
40.7048248042,-74.010012141,766
40.7503179487,-73.8925615385,39
40.8020541667,-73.9231416667,24
40.7336891667,-74.0028544643,1680
40.7047675,-73.9235805556,360
40.6834891228,-73.9643691228,285
40.7697045946,-73.9547702703,370
40.8659409639,-73.9260710843,83
40.6642757576,-73.9816873737,198
40.7237835153,-74.0039725983,916
40.6732275862,-73.8744655172,29
40.7223412587,-74.0459468531,143
